countries,,pearson corr,,pearson p,spearman corr,spearman p,,,,,,,
Afghanistan,,Cuba,,0.527145790240037,1.43684058431336E-23,0.289049011425612,2.22297668209445E-07,,,,CHE Switzerland ,CHE,Switzerland
Afghanistan,,Cyprus,,0.457417856330402,1.95655256917855E-17,0.294878850809902,1.2300740817867E-07,,,,CHL Chile ,CHL,Chile
Afghanistan,,Czech Republic,,0.750162033833571,2.84790939858789E-57,0.14360567294487,0.011362174336226,,,,CHN China ,CHN,China
Afghanistan,,Democratic Republic of Congo,,0.427290689833085,3.44599786740879E-15,0.742024279208523,1.95544621965131E-55,,,,CIV Côte d'Ivoire ,CIV,Côte d'Ivoire
Afghanistan,,Denmark,,0.652808394753138,4.94977785577639E-39,0.423043199102394,6.86078165497136E-15,,,,CMR Cameroon ,CMR,Cameroon
Afghanistan,,Djibouti,,0.517594787172346,1.21064913943005E-22,0.612883966318861,2.32303197369155E-33,,,,"COD Congo, the Democratic Republic of the ",COD,"Congo, the Democratic Republic of the"
Afghanistan,,Dominica,,0.386114604208035,1.84267168641509E-12,-0.016006528306496,0.77893782681277,,,,COG Congo ,COG,Congo
Afghanistan,,Dominican Republic,,0.675909729542313,1.00677465902185E-42,0.778069959352795,3.75651764106107E-64,,,,COK Cook Islands ,COK,Cook Islands
Afghanistan,,Ecuador,,0.552006093246538,4.03384769590779E-26,0.676831621512085,7.05683816229706E-43,,,,COL Colombia ,COL,Colombia
Afghanistan,,Egypt,,0.677719247445417,5.00600693957309E-43,0.776193279206441,1.17051808414245E-63,,,,COM Comoros ,COM,Comoros
Afghanistan,,El Salvador,,0.484596734571234,1.16373201901667E-19,0.586552039024207,4.84341034716078E-30,,,,CPV Cape Verde ,CPV,Cape Verde
Afghanistan,,Equatorial Guinea,,0.286632767253271,2.8299091775765E-07,0.38936138877615,1.15814771378531E-12,,,,CRI Costa Rica ,CRI,Costa Rica
Afghanistan,,Eritrea,,0.43388206961307,1.16098929929987E-15,0.081071597909669,0.154448979509021,,,,CUB Cuba ,CUB,Cuba
Afghanistan,,Estonia,,0.613797547557763,1.75900650812468E-33,0.36992200243218,1.73243296950438E-11,,,,CXR Christmas Island ,CXR,Christmas Island
Afghanistan,,Ethiopia,,0.288620327737301,2.32063310522226E-07,0.506758641940778,1.25439880369025E-21,,,,CYM Cayman Islands ,CYM,Cayman Islands
Afghanistan,,Fiji,,0.388187900163759,1.37061371430818E-12,0.22691550852881,5.53427269733632E-05,,,,CYP Cyprus ,CYP,Cyprus
Afghanistan,,Finland,,0.671777710089099,4.87277214454771E-42,0.494519459782756,1.59451840012612E-20,,,,CZE Czech Republic ,CZE,Czech Republic
Afghanistan,,France,,0.639261118335026,5.16604117793371E-37,0.030870492122836,0.588187502957928,,,,DEU Germany ,DEU,Germany
Afghanistan,,Gabon,,0.460222908147418,1.17720707921682E-17,0.639180152048769,5.30784325169177E-37,,,,DJI Djibouti ,DJI,Djibouti
Afghanistan,,Gambia,,0.184914222403634,0.001072246255965,0.158373257110008,0.005192474336825,,,,DMA Dominica ,DMA,Dominica
Afghanistan,,Georgia,,0.616171696054796,8.50203078594672E-34,0.346007609928382,3.8017530742795E-10,,,,DNK Denmark ,DNK,Denmark
Afghanistan,,Germany,,0.506751513632811,1.25629532739806E-21,0.150289572067953,0.008037228654944,,,,DOM Dominican Republic ,DOM,Dominican Republic
Afghanistan,,Ghana,,0.511281987536632,4.774989442468E-22,0.649466218552916,1.59273901561073E-38,,,,DZA Algeria ,DZA,Algeria
Afghanistan,,Greece,,0.617580942813849,5.50591273981162E-34,0.212457538221284,0.000164097964188,,,,ECU Ecuador ,ECU,Ecuador
Afghanistan,,Grenada,,0.390311447237035,1.01001402902945E-12,0.36322931223876,4.22046321991242E-11,,,,EGY Egypt ,EGY,Egypt
Afghanistan,,Guatemala,,0.336041888727276,1.27787667337413E-09,0.605063536743891,2.42167174514922E-32,,,,ERI Eritrea ,ERI,Eritrea
Afghanistan,,Guinea,,0.559576705339096,6.10229034911905E-27,0.60203217341624,5.90497749576916E-32,,,,ESH Western Sahara ,ESH,Western Sahara
Afghanistan,,Guinea-Bissau,,0.391424604651604,8.59891718240667E-13,0.460246926190732,1.1720736120185E-17,,,,ESP Spain ,ESP,Spain
Afghanistan,,Guyana,,0.344650054401816,4.49580249513781E-10,0.231169734756,3.96483203708928E-05,,,,EST Estonia ,EST,Estonia
Afghanistan,,Haiti,,0.465245871773392,4.68440013299707E-18,0.51132553376515,4.73046471605905E-22,,,,ETH Ethiopia ,ETH,Ethiopia
Afghanistan,,Honduras,,0.503033058181163,2.74955709630789E-21,0.64363951278767,1.18008337168179E-37,,,,FIN Finland ,FIN,Finland
Afghanistan,,Hungary,,0.698449866730588,1.15134600642524E-46,0.324937653038272,4.69261722622224E-09,,,,FJI Fiji ,FJI,Fiji
Afghanistan,,Iceland,,0.688372339736266,7.37900616225165E-45,0.182555519037653,0.001244811270647,,,,FLK Falkland Islands (Malvinas) ,FLK,Falkland Islands (Malvinas)
Afghanistan,,India,,0.78795771035995,7.798947762177E-67,0.629821361692859,1.15053195075097E-35,,,,FRA France ,FRA,France
Afghanistan,,Indonesia,,0.65418246886957,3.04821022549374E-39,0.772845570070117,8.65099408797359E-63,,,,FRO Faroe Islands ,FRO,Faroe Islands
Afghanistan,,International,,-0.126816464417323,0.025559733949871,0.051247337184983,0.36852035058429,,,,"FSM Micronesia, Federated States of ",FSM,"Micronesia, Federated States of"
Afghanistan,,Iran,,0.330822290398056,2.37058462207263E-09,0.7971440415901,1.852065360418E-69,,,,GAB Gabon ,GAB,Gabon
Afghanistan,,Iraq,,0.329238675227672,2.85288931169647E-09,0.767110847547365,2.4608771110253E-61,,,,GBR United Kingdom ,GBR,United Kingdom
Afghanistan,,Ireland,,0.823428770271126,8.78152780764811E-78,0.426564502279049,3.87920867984438E-15,,,,GEO Georgia ,GEO,Georgia
Afghanistan,,Israel,,0.691728740979458,1.8814044907895E-45,0.352926257135048,1.5972745969394E-10,,,,GGY Guernsey ,GGY,Guernsey
Afghanistan,,Italy,,0.205225542993658,0.000275228155946,0.236802301309126,2.52493713867535E-05,,,,GHA Ghana ,GHA,Ghana
Afghanistan,,Jamaica,,0.362267366868909,4.78860230760422E-11,0.20758621325351,0.000232926184504,,,,GIB Gibraltar ,GIB,Gibraltar
Afghanistan,,Japan,,0.254891861830368,5.49361416492094E-06,0.106117651638995,0.062024781531376,,,,GIN Guinea ,GIN,Guinea
Afghanistan,,Jordan,,0.234055420103358,3.15083089214541E-05,0.060427195223759,0.288870807936292,,,,GLP Guadeloupe ,GLP,Guadeloupe
Afghanistan,,Kazakhstan,,0.40624712874176,9.516468064933E-14,0.679889568404918,2.15112287562454E-43,,,,GMB Gambia ,GMB,Gambia
Afghanistan,,Kenya,,0.444763129241272,1.82817499905181E-16,0.680395618872456,1.76472477182034E-43,,,,GNB Guinea-Bissau ,GNB,Guinea-Bissau
Afghanistan,,Kosovo,,0.337513092786903,1.07135755544797E-09,0.528718784261875,1.00493784411081E-23,,,,GNQ Equatorial Guinea ,GNQ,Equatorial Guinea
Afghanistan,,Kuwait,,0.136369190030592,0.016280680864798,0.826141396834923,1.01418929064619E-78,,,,GRC Greece ,GRC,Greece
Afghanistan,,Kyrgyzstan,,0.385167744843956,2.10788973710728E-12,0.576592092698494,7.30018529602921E-29,,,,GRD Grenada ,GRD,Grenada
Afghanistan,,Laos,,0.416426213365236,1.96767054665268E-14,0.215310403611894,0.000133170045259,,,,GRL Greenland ,GRL,Greenland
Afghanistan,,Latvia,,0.56686808063608,9.44982670501451E-28,0.395997031310721,4.4118069092137E-13,,,,GTM Guatemala ,GTM,Guatemala
Afghanistan,,Lebanon,,0.532495067668268,4.22726259876757E-24,0.105883409153215,0.062606478199818,,,,GUF French Guiana ,GUF,French Guiana
Afghanistan,,Lesotho,,-0.13882109517075,0.014437928890666,-0.299105194436739,7.94331325106538E-08,,,,GUM Guam ,GUM,Guam
Afghanistan,,Liberia,,0.348805409662136,2.68407748472366E-10,0.583063744520125,1.26589931648337E-29,,,,GUY Guyana ,GUY,Guyana
Afghanistan,,Libya,,0.326175837515316,4.06949523516416E-09,0.129588875484,0.022485735199007,,,,HKG Hong Kong ,HKG,Hong Kong
Afghanistan,,Liechtenstein,,0.291323285259556,1.76750070695665E-07,0.059064077538774,0.299906189499628,,,,HMD Heard Island and McDonald Islands ,HMD,Heard Island and McDonald Islands
Afghanistan,,Lithuania,,0.468992060743247,2.33272414891707E-18,0.17061478648683,0.002578474705082,,,,HND Honduras ,HND,Honduras
Afghanistan,,Luxembourg,,0.546937881009235,1.39080980471267E-25,0.338199109866284,9.86505326321064E-10,,,,HRV Croatia ,HRV,Croatia
Afghanistan,,Macedonia,,0.673322692184665,2.71025847528069E-42,0.715879809896642,5.64221098749726E-50,,,,HTI Haiti ,HTI,Haiti
Afghanistan,,Madagascar,,0.403977402395619,1.3426507463648E-13,0.443255667520222,2.37116989674036E-16,,,,HUN Hungary ,HUN,Hungary
Afghanistan,,Malawi,,0.152093929550066,0.007303122110138,0.297842504504659,9.05871187330372E-08,,,,IDN Indonesia ,IDN,Indonesia
Afghanistan,,Malaysia,,0.578895437348268,3.93048518480321E-29,0.189204225565258,0.000813623802161,,,,IMN Isle of Man ,IMN,Isle of Man
Afghanistan,,Maldives,,0.359686161901328,6.70629648665667E-11,0.40215883138444,1.76570902619955E-13,,,,IND India ,IND,India
Afghanistan,,Mali,,0.458797657279677,1.52480133332193E-17,0.504230869620562,2.13864410159182E-21,,,,IOT British Indian Ocean Territory ,IOT,British Indian Ocean Territory
Afghanistan,,Malta,,0.478247468453086,4.01476084750664E-19,0.201608917156927,0.000354131099208,,,,IRL Ireland ,IRL,Ireland
Afghanistan,,Marshall Islands,,-0.073598319670383,0.196235755111317,0.010075528419495,0.859755176919991,,,,"IRN Iran, Islamic Republic of ",IRN,"Iran, Islamic Republic of"
Afghanistan,,Mauritania,,0.266938936965055,1.86293990740749E-06,0.382241505653436,3.18528001515869E-12,,,,IRQ Iraq ,IRQ,Iraq
Afghanistan,,Mauritius,,0.362853307153652,4.43425992696896E-11,0.110828427185217,0.051240230561048,,,,ISL Iceland ,ISL,Iceland
Afghanistan,,Mexico,,0.582889026657321,1.32790163521489E-29,0.809372424627086,3.60029177248033E-73,,,,ISR Israel ,ISR,Israel
Afghanistan,,Moldova,,0.535637875702488,2.03914790352241E-24,0.690763077364286,2.79300870643081E-45,,,,ITA Italy ,ITA,Italy
Afghanistan,,Monaco,,0.420144147918136,1.09165905052817E-14,0.137604419889241,0.01532810451283,,,,JAM Jamaica ,JAM,Jamaica
Afghanistan,,Mongolia,,0.246856967859593,1.09735184226995E-05,0.630510135850853,9.20727603751522E-36,,,,JEY Jersey ,JEY,Jersey
Afghanistan,,Montenegro,,0.280059207814766,5.3957839282853E-07,0.039853410515245,0.484467764394341,,,,JOR Jordan ,JOR,Jordan
Afghanistan,,Morocco,,0.671251070865881,5.94656635259456E-42,0.420728680543163,9.94424357763872E-15,,,,JPN Japan ,JPN,Japan
Afghanistan,,Mozambique,,0.392750634510556,7.09336286557866E-13,0.326102627933469,4.1039940545223E-09,,,,KAZ Kazakhstan ,KAZ,Kazakhstan
Afghanistan,,Myanmar,,0.083690722545653,0.141519834875094,-0.091225641332559,0.108923891774155,,,,KEN Kenya ,KEN,Kenya
Afghanistan,,Namibia,,0.167017548391665,0.003182757572092,0.087696497008704,0.123368282507152,,,,KGZ Kyrgyzstan ,KGZ,Kyrgyzstan
Afghanistan,,Nepal,,0.352476081411786,1.69107880121096E-10,0.338460508039054,9.55920634315265E-10,,,,KHM Cambodia ,KHM,Cambodia
Afghanistan,,Netherlands,,0.595138968219412,4.32781803220399E-31,0.323128985896792,5.77162857464633E-09,,,,KIR Kiribati ,KIR,Kiribati
Afghanistan,,New Zealand,,0.756983510603734,7.23295919556379E-59,0.312939433290081,1.80592673488889E-08,,,,KNA Saint Kitts and Nevis ,KNA,Saint Kitts and Nevis
Afghanistan,,Nicaragua,,0.137803592180939,0.015179169003523,0.446864016836647,1.26962176858417E-16,,,,"KOR Korea, Republic of ",KOR,"Korea, Republic of"
Afghanistan,,Niger,,0.512826229036712,3.42242284324313E-22,0.553416817935889,2.84746627002449E-26,,,,KWT Kuwait ,KWT,Kuwait
Afghanistan,,Nigeria,,0.531360350968804,5.48986509714324E-24,0.717379865603679,2.85068515398977E-50,,,,LAO Lao People's Democratic Republic ,LAO,Lao People's Democratic Republic
Afghanistan,,Norway,,0.465782745222868,4.24119523829776E-18,0.371122588991228,1.47345515508121E-11,,,,LBN Lebanon ,LBN,Lebanon
Afghanistan,,Oman,,0.725718394945166,5.90135782775508E-52,0.827652278191998,2.9983806932418E-79,,,,LBR Liberia ,LBR,Liberia
Afghanistan,,Pakistan,,0.568750403101165,5.79456858438717E-28,0.931800459105065,1.34372135502621E-137,,,,LBY Libyan Arab Jamahiriya ,LBY,Libyan Arab Jamahiriya
Afghanistan,,Palestine,,0.579184334380206,3.63555355225406E-29,0.323831881245321,5.32644844855553E-09,,,,LCA Saint Lucia ,LCA,Saint Lucia
Afghanistan,,Panama,,0.429023840617264,2.59462107514849E-15,0.706837627778768,3.15404308520665E-48,,,,LIE Liechtenstein ,LIE,Liechtenstein
Afghanistan,,Papua New Guinea,,0.0076643729488,0.893084669652318,-0.242267423384955,1.61240038537738E-05,,,,LKA Sri Lanka ,LKA,Sri Lanka
Afghanistan,,Paraguay,,0.474699540711975,7.93135252250389E-19,0.391186103214852,8.90100312756649E-13,,,,LSO Lesotho ,LSO,Lesotho
Afghanistan,,Peru,,0.613027673841856,2.22372568312455E-33,0.701229361321236,3.54435053320779E-47,,,,LTU Lithuania ,LTU,Lithuania
Afghanistan,,Philippines,,0.593522054644406,6.85766460432718E-31,0.408517327690031,6.72694142004511E-14,,,,LUX Luxembourg ,LUX,Luxembourg
Afghanistan,,Poland,,0.688145682646748,8.08699477797494E-45,0.576389279174902,7.70740662270668E-29,,,,LVA Latvia ,LVA,Latvia
Afghanistan,,Portugal,,0.804872418945924,8.96732397335856E-72,0.550777333914534,5.45614987462947E-26,,,,MAC Macao ,MAC,Macao
Afghanistan,,Qatar,,0.515798339749422,1.79421821858607E-22,0.776699640260811,8.62326766344896E-64,,,,MAF Saint Martin (French part) ,MAF,Saint Martin (French part)
Afghanistan,,Romania,,0.708878191676164,1.28939201569361E-48,0.545922116907891,1.77790093781311E-25,,,,MAR Morocco ,MAR,Morocco
Afghanistan,,Russia,,0.834527207854717,1.0043359542847E-81,0.797881309012365,1.1250503936734E-69,,,,MCO Monaco ,MCO,Monaco
Afghanistan,,Rwanda,,0.301496989956215,6.18241392586418E-08,0.505543487181587,1.62203650879108E-21,,,,"MDA Moldova, Republic of ",MDA,"Moldova, Republic of"
Afghanistan,,Saint Kitts and Nevis,,0.363065908714161,4.31211215455918E-11,0.332939631025658,1.84756080616366E-09,,,,MDG Madagascar ,MDG,Madagascar
Afghanistan,,Saint Lucia,,0.360791844285823,5.80745202574292E-11,0.245225848229866,1.25926253058143E-05,,,,MDV Maldives ,MDV,Maldives
Afghanistan,,Saint Vincent and the Grenadines,,0.264649518759998,2.29740684812735E-06,0.215713146445145,0.000129272595929,,,,MEX Mexico ,MEX,Mexico
Afghanistan,,San Marino,,0.576625067767818,7.23601433426974E-29,0.628255501046988,1.90540524904123E-35,,,,MHL Marshall Islands ,MHL,Marshall Islands
Afghanistan,,Sao Tome and Principe,,0.10598292231958,0.062358809991416,0.170880833879559,0.00253822410895,,,,"MKD Macedonia, the former Yugoslav Republic of ",MKD,"Macedonia, the former Yugoslav Republic of"
Afghanistan,,Saudi Arabia,,0.780726936563779,7.37296951101583E-65,0.778860153965457,2.32009432765917E-64,,,,MLI Mali ,MLI,Mali
Afghanistan,,Senegal,,0.749042605935746,5.14488554084824E-57,0.739932517301674,5.65213341068657E-55,,,,MLT Malta ,MLT,Malta
Afghanistan,,Serbia,,0.497503372634212,8.65971947876647E-21,0.658150998905731,7.40908467960856E-40,,,,MMR Myanmar ,MMR,Myanmar
Afghanistan,,Seychelles,,0.051987971366471,0.361630822704093,0.015831398035879,0.781294955335377,,,,MNE Montenegro ,MNE,Montenegro
Afghanistan,,Sierra Leone,,0.313575494057443,1.68390237298402E-08,0.351426217600409,1.93113122691842E-10,,,,MNG Mongolia ,MNG,Mongolia
Afghanistan,,Singapore,,0.323024332217459,5.84091813539322E-09,0.436069889840872,8.04846542200945E-16,,,,MNP Northern Mariana Islands ,MNP,Northern Mariana Islands
Afghanistan,,Slovakia,,0.502982506366829,2.77880917106988E-21,0.164530055821105,0.003672879056394,,,,MOZ Mozambique ,MOZ,Mozambique
Afghanistan,,Slovenia,,0.58067932573457,2.42511026487885E-29,0.152610170547255,0.007104406903117,,,,MRT Mauritania ,MRT,Mauritania
Afghanistan,,Solomon Islands,,-0.175035167794627,0.001979595988421,-0.152438392113029,0.007169986207084,,,,MSR Montserrat ,MSR,Montserrat
