countries,pearson corr,pearson p,spearman corr,spearman p
Afghanistan_Albania,0.4145179130819576,2.6549537185946897e-14,0.5397055076306129,7.847307592173557e-25
Afghanistan_Algeria,0.8210163500410181,5.80597576653295e-77,0.8589802892465055,1.5144040058211425e-91
Afghanistan_Andorra,0.19599312969515423,0.0005193078841125928,0.07856750064550812,0.16762693570929074
Afghanistan_Angola,0.3334496402506468,1.7393987001317676e-09,0.291875889115477,1.6712170093244206e-07
Afghanistan_Antigua and Barbuda,0.3989953697648336,2.832209242442773e-13,0.2020248251264155,0.00034408909037517637
Afghanistan_Argentina,0.704382646938121,9.158715080028198e-48,0.7551029568021822,2.0152165592071305e-58
Afghanistan_Armenia,0.41060126155047666,4.8810268380357336e-14,0.7502129991125905,2.772042185588478e-57
Afghanistan_Australia,0.6344850437664562,2.517072777460701e-36,0.30989122631949995,2.5195062538247994e-08
Afghanistan_Austria,0.6571588941295128,1.0573087391213179e-39,0.2247225964091443,6.556265395808576e-05
Afghanistan_Azerbaijan,0.8387964355887323,2.5523755754600853e-83,0.8397160868656478,1.1409593169012816e-83
Afghanistan_Bahamas,0.31355644338333905,1.6874385144209377e-08,0.0722947955202037,0.2042981811411732
Afghanistan_Bahrain,0.11212926178059324,0.048553867176871546,0.8125396774487107,3.5568817978347625e-74
Afghanistan_Bangladesh,0.44286287756334775,2.536881421831487e-16,0.7200937681940311,8.19585272545171e-51
Afghanistan_Barbados,0.35475910502061614,1.2649345925439106e-10,0.15930136062488817,0.004932116325172139
Afghanistan_Belarus,0.8261303987610215,1.0231814166456136e-78,0.8286155320212131,1.3701786262391864e-79
Afghanistan_Belgium,0.7442391239140979,6.284334070600761e-56,0.25194754899288646,7.0981166876845084e-06
Afghanistan_Belize,0.19939984840260228,0.00041219650866477906,-0.15898885998543497,0.005018438716853517
Afghanistan_Benin,0.40600745779314984,9.86994043855583e-14,0.4908302208666301,3.364008738759126e-20
Afghanistan_Bhutan,0.4233081869876857,6.574141740076219e-15,0.17961110657429868,0.0014959549330492256
Afghanistan_Bolivia,0.5062546122633595,1.3956943333222643e-21,0.6615636645665256,2.1578940231257136e-40
Afghanistan_Bosnia and Herzegovina,0.628117793622172,1.9915676176081096e-35,0.5602826050556533,5.10434024535807e-27
Afghanistan_Botswana,0.02493731513500675,0.6618495330255835,0.07562939208581869,0.18413966554095648
Afghanistan_Brazil,0.8178419684807292,6.677859697564985e-76,0.8356270688690589,3.938840315714425e-82
Afghanistan_Brunei,0.34569081156299136,3.953750132921401e-10,0.32067459098152107,7.626529447366517e-09
Afghanistan_Bulgaria,0.40802431893568686,7.254920161810723e-14,0.58674519944729,4.590914600408628e-30
Afghanistan_Burkina Faso,0.36743394297893384,2.418029953167812e-11,0.33997876712725233,7.956582139031794e-10
Afghanistan_Burundi,0.15186669680336018,0.007392152317067252,0.09358798697413336,0.10002311889226537
Afghanistan_Cambodia,0.3407045098239029,7.285826152466517e-10,0.2909893431018428,1.8282491513151725e-07
Afghanistan_Cameroon,0.5923120634199557,9.66134972887936e-31,0.7216684550506403,3.949439794737597e-51
Afghanistan_Canada,0.6192916807197403,3.2395216414263387e-34,0.4276657719835324,3.2411825560775914e-15
Afghanistan_Cape Verde,0.22640339102141321,5.758536595739478e-05,0.45482505891448655,3.1162876869863077e-17
Afghanistan_Central African Republic,0.33860330849856246,9.39603103135124e-10,0.40838091777469165,6.869143519580238e-14
Afghanistan_Chad,0.4896810037223377,4.236986956961604e-20,0.3769628423233735,6.638963714605621e-12
Afghanistan_Chile,0.7097432704722626,8.80388457299033e-49,0.8065344875643304,2.7619209372576897e-72
Afghanistan_China,-0.1334397442173199,0.01874927116058622,-0.1504502643851154,0.007969281597344195
Afghanistan_Colombia,0.5289059192567374,9.629710610682314e-24,0.7489541421057517,5.390331451323805e-57
Afghanistan_Comoros,0.09982043896080411,0.0792925899030242,-0.005630022013596558,0.9213549508820617
Afghanistan_Congo,0.4220286103120363,8.075855124410651e-15,0.564906595177111,1.5678976462349119e-27
Afghanistan_Costa Rica,0.5262602642838081,1.755750616772498e-23,0.3726791068484205,1.1932646798763996e-11
Afghanistan_Cote d'Ivoire,0.4235874579040816,6.284748142068101e-15,0.6459717210029093,5.321737965381799e-38
Afghanistan_Croatia,0.4340374902897194,1.131260651133898e-15,0.3281887742982779,3.223700023605179e-09
Afghanistan_Cuba,0.5271457902400367,1.4368405843133636e-23,0.2890490114256121,2.2229766820944466e-07
Afghanistan_Cyprus,0.4574178563304016,1.9565525691785532e-17,0.29487885080990245,1.2300740817866972e-07
Afghanistan_Czech Republic,0.7501620338335712,2.847909398587893e-57,0.14360567294487045,0.011362174336225774
Afghanistan_Democratic Republic of Congo,0.4272906898330846,3.445997867408794e-15,0.7420242792085235,1.9554462196513148e-55
Afghanistan_Denmark,0.6528083947531381,4.949777855776392e-39,0.4230431991023937,6.860781654971357e-15
Afghanistan_Djibouti,0.5175947871723463,1.2106491394300509e-22,0.6128839663188608,2.323031973691546e-33
Afghanistan_Dominica,0.3861146042080354,1.842671686415087e-12,-0.016006528306495654,0.77893782681277
Afghanistan_Dominican Republic,0.6759097295423135,1.006774659021853e-42,0.7780699593527947,3.756517641061073e-64
Afghanistan_Ecuador,0.5520060932465376,4.0338476959077876e-26,0.6768316215120852,7.056838162297063e-43
Afghanistan_Egypt,0.6777192474454174,5.006006939573093e-43,0.7761932792064408,1.1705180841424459e-63
Afghanistan_El Salvador,0.48459673457123387,1.163732019016672e-19,0.5865520390242073,4.8434103471607804e-30
Afghanistan_Equatorial Guinea,0.28663276725327147,2.8299091775764954e-07,0.38936138877615023,1.1581477137853074e-12
Afghanistan_Eritrea,0.43388206961306985,1.1609892992998722e-15,0.08107159790966859,0.15444897950902142
Afghanistan_Estonia,0.6137975475577632,1.7590065081246797e-33,0.3699220024321805,1.732432969504383e-11
Afghanistan_Ethiopia,0.2886203277373015,2.3206331052222635e-07,0.5067586419407784,1.2543988036902495e-21
Afghanistan_Fiji,0.3881879001637594,1.370613714308182e-12,0.22691550852881026,5.534272697336319e-05
Afghanistan_Finland,0.6717777100890995,4.87277214454771e-42,0.4945194597827564,1.5945184001261165e-20
Afghanistan_France,0.6392611183350262,5.166041177933707e-37,0.03087049212283616,0.5881875029579277
Afghanistan_Gabon,0.46022290814741795,1.1772070792168166e-17,0.6391801520487688,5.307843251691767e-37
Afghanistan_Gambia,0.1849142224036345,0.001072246255965237,0.1583732571100084,0.0051924743368249
Afghanistan_Georgia,0.6161716960547962,8.502030785946724e-34,0.3460076099283821,3.8017530742795e-10
Afghanistan_Germany,0.5067515136328109,1.2562953273980615e-21,0.15028957206795293,0.008037228654944347
Afghanistan_Ghana,0.5112819875366321,4.774989442467998e-22,0.6494662185529159,1.5927390156107348e-38
Afghanistan_Greece,0.6175809428138488,5.505912739811622e-34,0.21245753822128421,0.0001640979641876454
Afghanistan_Grenada,0.39031144723703537,1.010014029029451e-12,0.3632293122387604,4.220463219912419e-11
Afghanistan_Guatemala,0.33604188872727614,1.2778766733741324e-09,0.6050635367438911,2.421671745149223e-32
Afghanistan_Guinea,0.5595767053390963,6.102290349119054e-27,0.6020321734162403,5.904977495769158e-32
Afghanistan_Guinea-Bissau,0.39142460465160434,8.59891718240667e-13,0.4602469261907321,1.172073612018499e-17
Afghanistan_Guyana,0.344650054401816,4.495802495137815e-10,0.2311697347559997,3.9648320370892816e-05
Afghanistan_Haiti,0.46524587177339227,4.684400132997071e-18,0.5113255337651503,4.730464716059051e-22
Afghanistan_Honduras,0.5030330581811634,2.749557096307892e-21,0.6436395127876697,1.1800833716817866e-37
