,Friend 0,Friend 1,Closeness Friend 0,Betweeness Friend 0,Eigenvector Friend 0,Closeness Friend 1,Betweeness Friend 1,Eigenvector Friend 1,% Diff Closeness,% Diff Betweeness,% Diff Eigenvector,Data Warning?
0,ABW,ARE,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.514118882847257,0.0029831076853009996,0.085646793623015,25.27472527472529,99.88582452137649,34.57975355834391,False
1,ABW,ARG,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.45109785849823797,0.0012731590155739998,0.07457527821354801,14.835164835164766,99.73247823438524,24.86740271070952,False
2,ABW,ARM,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.408889871738169,0.000117176036964,0.06421872719291799,6.0439560439559825,97.0932815567116,12.750772388818064,False
3,ABW,ATG,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.386299271089651,0.00016962901565399999,0.056689914902127006,0.549450549450393,97.99210207969706,1.1634722784691518,False
4,ABW,AUS,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.510366190271729,0.002983568569523,0.08516330820056402,24.725274725274655,99.88584215853663,34.20835258583587,False
5,ABW,AUT,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.48895222424634205,0.00272150703045,0.082342897748851,21.428571428571395,99.8748495800511,31.95485586571448,False
6,ABW,AZE,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.408889871738169,0.000179579906955,0.064631790066705,6.0439560439559825,98.10336382544152,13.308383692103584,False
7,ABW,BDI,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.380000913408842,4.50750938814004e-05,0.055878019613315996,1.0869565217391481,92.44377064081405,0.27185955829880953,False
8,ABW,BEL,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.521792299009156,0.004764604018584001,0.087144816321124,26.373626373626337,99.92851499381139,35.70433007617553,False
9,ABW,BEN,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.42375859434683,0.00033937847432700003,0.068553726641456,9.340659340659348,98.99640733423026,18.26798308048481,False
10,ABW,BFA,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.40651260504201703,0.00017124097202899995,0.06379459962658,5.494505494505476,98.0110031862175,12.170710709801245,False
11,ABW,BGR,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.48220805563604796,0.0019494499153800001,0.081318634574966,20.329670329670343,99.82528520221649,31.097781276812064,False
12,ABW,BIH,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.41129510627780497,0.00032260216671,0.06487149934290401,6.593406593406462,98.94421742039668,13.628721356689432,False
13,ABW,BLR,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.41129510627780497,0.00040653843624199995,0.064902291482425,6.593406593406462,99.1622003791249,13.669699208192746,False
14,ABW,BLZ,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.39280993296194894,0.00014945472222499997,0.058585888191705,2.1978021978021536,97.72106399393698,4.362048290178228,False
15,ABW,BMU,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.37794685441744297,4.541802978432871e-05,0.05368949478650901,1.6216216216216124,92.500825126672,4.177823169721168,False
16,ABW,BRA,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.49588771678884297,0.0036159501690380003,0.082729474038037,22.527472527472433,99.90580684693305,32.272815572607634,False
17,ABW,BRB,0.38417674762212606,3.40597747754701e-06,0.056030343457553006,0.408889871738169,0.000428962649512,0.06392607090123599,6.0439560439559825,99.20599672688944,12.351341686370283,False
